team_id,country,continent,fifa_code
300,Turkmenistan,Unknown,TUR
301,Turks and Caicos Islands,Unknown,TUR
302,Tuvalu,Unknown,TUV
303,Two Sicilies,Unknown,TWO
304,Uganda,Unknown,UGA
305,Ukraine,Unknown,UKR
306,United Arab Emirates,Unknown,UNI
307,United Koreans in Japan,Unknown,UNI
308,United States,North America,UNI
309,United States Virgin Islands,Unknown,UNI
310,Uruguay,South America,URU
311,Uzbekistan,Unknown,UZB
312,Vanuatu,Unknown,VAN
313,Vatican City,Unknown,VAT
314,Venezuela,Unknown,VEN
315,Vietnam,Unknown,VIE
316,Vietnam Republic,Unknown,VIE
317,Wales,Unknown,WAL
318,Wallis Islands and Futuna,Unknown,WAL
319,West Papua,Unknown,WES
320,Western Armenia,Unknown,WES
321,Western Australia,Unknown,WES
322,Western Isles,Unknown,WES
323,Western Sahara,Unknown,WES
324,Yemen,Unknown,YEM
325,Yemen DPR,Unknown,YEM
326,Ynys Môn,Unknown,YNY
327,Yorkshire,Unknown,YOR
328,Yoruba Nation,Unknown,YOR
329,Yugoslavia,Unknown,YUG
330,Zambia,Unknown,ZAM
331,Zanzibar,Unknown,ZAN
332,Zimbabwe,Unknown,ZIM
333,Åland Islands,Unknown,ÅLA
